,Player,Pos,Age,Tm,PER,TS%,AST%,WS/48,OBPM,DBPM,Year,
36,Dwight Howard,C,22,ORL,22.9,0.619,6.1,0.2,1.6,1.2,2007,1
37,Andre Iguodala,SF,24,PHI,19,0.543,20.3,0.143,2.5,1.5,2007,1
38,LeBron James,SF,23,CLE,29.1,0.568,37.3,0.242,8.2,2.6,2007,1
39,Kyle Lowry,PG,21,MEM,14.3,0.531,21.8,0.078,-1.2,0.3,2007,1
40,Paul Millsap,PF,22,UTA,16.1,0.548,7,0.148,-0.9,0.8,2007,1
41,Chris Paul,PG,22,NOH,28.3,0.576,52.2,0.284,7.2,3.2,2007,1
42,Rajon Rondo,PG,21,BOS,15.6,0.515,28.2,0.15,-0.4,2.6,2007,1
43,Lou Williams,PG,21,PHI,16.7,0.523,22.6,0.112,1.3,0.1,2007,1
44,Thaddeus Young,PF,19,PHI,16.5,0.57,6.2,0.14,0.2,0.3,2007,1
45,LaMarcus Aldridge,PF,23,POR,19.1,0.529,9.3,0.151,1.7,-0.4,2008,1
46,Carmelo Anthony,SF,24,DEN,19,0.532,18.1,0.105,1.5,-1,2008,1
47,D.J. Augustin,PG,21,CHA,14.9,0.587,22.6,0.128,1.4,-0.5,2008,1
48,Nicolas Batum,SF,20,POR,12.9,0.555,7.8,0.123,0.4,1,2008,1
49,Mike Conley,PG,21,MEM,14.3,0.548,23.7,0.086,0,-0.3,2008,1
50,Goran Dragic,PG,22,PHO,9.8,0.487,20.8,0.005,-3,-1.2,2008,1
51,Kevin Durant,SF,20,OKC,20.8,0.577,13.5,0.132,3.4,-0.1,2008,1
52,Danilo Gallinari,SG,20,NYK,13.4,0.621,5.5,0.119,0.5,0.1,2008,1
53,Rudy Gay,SF,22,MEM,15.3,0.528,8.7,0.054,0,-1.1,2008,1
54,Eric Gordon,SG,20,LAC,14.9,0.593,13.6,0.082,0.6,-1,2008,1
55,Jeff Green,PF,22,OKC,13.9,0.536,9.1,0.07,-0.6,-0.6,2008,1
56,Udonis Haslem,PF,28,MIA,13.1,0.553,5.3,0.106,-1.4,-0.9,2008,1
57,George Hill,PG,22,SAS,11.6,0.502,16.6,0.08,-3.3,1.6,2008,1
58,Al Horford,C,22,ATL,17,0.565,11.9,0.145,0.2,1.5,2008,1
59,Dwight Howard,C,23,ORL,25.4,0.6,7.3,0.234,2.1,2.4,2008,1
60,Andre Iguodala,SF,25,PHI,18.4,0.56,22.4,0.134,2.6,0.6,2008,1
61,LeBron James,SF,24,CLE,31.7,0.591,38,0.318,9.5,3.7,2008,1
62,DeAndre Jordan,C,20,LAC,14.1,0.585,2.3,0.079,-3.2,-0.1,2008,1
63,Brook Lopez,C,20,NJN,17.9,0.568,6.2,0.112,-0.3,-0.3,2008,1
64,Robin Lopez,C,20,PHO,11.6,0.566,1.8,0.083,-3.1,-0.3,2008,1
65,Kevin Love,C,20,MIN,18.3,0.538,6.8,0.124,0.4,-1.6,2008,1
66,Kyle Lowry,PG,22,TOT,14.4,0.547,26.4,0.103,-0.7,0.8,2008,1
67,Kyle Lowry,PG,22,MEM,14.1,0.54,26.9,0.081,-0.9,0.2,2008,1
68,Kyle Lowry,PG,22,HOU,15,0.561,25.7,0.143,-0.3,2.1,2008,1
69,JaVale McGee,C,21,WAS,17,0.534,3.4,0.084,-1.8,-1.1,2008,1
70,Paul Millsap,PF,23,UTA,18.6,0.576,9.8,0.162,0.7,0.3,2008,1
71,Chris Paul,PG,23,NOH,30,0.599,54.5,0.292,7.2,3.8,2008,1
72,Rajon Rondo,PG,22,BOS,18.8,0.543,39.7,0.179,1.9,2.1,2008,1
73,Derrick Rose,PG,20,CHI,16,0.516,28.8,0.078,1.1,-1.5,2008,1
74,Russell Westbrook,PG,20,OKC,15.2,0.489,27.5,0.035,-0.1,-0.9,2008,1
75,Lou Williams,SG,22,PHI,16.3,0.513,21.6,0.085,1,-0.5,2008,1
76,Thaddeus Young,PF,20,PHI,15.3,0.549,5.8,0.102,0.4,-0.5,2008,1
77,LaMarcus Aldridge,PF,24,POR,18.2,0.535,9.9,0.145,1.4,-0.2,2009,1
78,Carmelo Anthony,SF,25,DEN,22.2,0.548,15.9,0.145,3.5,-1.2,2009,1
79,D.J. Augustin,PG,22,CHA,11.2,0.516,21.7,0.092,-1.5,0.3,2009,1
80,Nicolas Batum,SF,21,POR,17.3,0.646,8,0.181,2.8,1.1,2009,1
81,Mike Conley,PG,22,MEM,13.9,0.526,24.8,0.074,0,-0.6,2009,1
82,Stephen Curry,PG,21,GSW,16.3,0.568,24.6,0.077,1.1,-0.5,2009,1
83,DeMar DeRozan,SG,20,TOR,12.5,0.554,4.9,0.066,-1.5,-1.3,2009,1
84,Goran Dragic,PG,23,PHO,14.8,0.566,24.1,0.094,0.8,-0.7,2009,1
85,Kevin Durant,SF,21,OKC,26.2,0.607,13.5,0.238,6.3,0.8,2009,1
86,Wayne Ellington,SG,22,MIN,9.6,0.527,8.3,0.014,-1.6,-1.9,2009,1
87,Danilo Gallinari,SF,21,NYK,14.8,0.575,7.6,0.098,1.2,-0.7,2009,1
88,Rudy Gay,SF,23,MEM,16.2,0.535,7.8,0.096,0.8,-0.3,2009,1
89,Taj Gibson,PF,24,CHI,13.8,0.521,5,0.103,-2.4,0.5,2009,1
90,Eric Gordon,SG,21,LAC,14.1,0.571,13.8,0.069,0.1,-1,2009,1
91,Danny Green,SG,22,CLE,12.3,0.48,6.7,0.083,-0.9,0.7,2009,1
92,Jeff Green,PF,23,OKC,13.8,0.53,7.2,0.105,-0.4,0.6,2009,1
93,James Harden,SG,20,OKC,14,0.551,12.3,0.124,-0.7,1.2,2009,1
94,Udonis Haslem,PF,29,MIA,14.6,0.538,3.9,0.132,-0.8,-0.8,2009,1
95,George Hill,PG,23,SAS,14.7,0.572,15.5,0.142,0,0.9,2009,1
96,Jrue Holiday,PG,19,PHI,12.3,0.526,24.4,0.032,-1.1,-0.6,2009,1
97,Al Horford,C,23,ATL,19.4,0.594,10.4,0.183,1.8,0.5,2009,1
98,Dwight Howard,C,24,ORL,24,0.63,8.7,0.223,1.6,2.8,2009,1
99,Serge Ibaka,PF,20,OKC,15.2,0.562,1.2,0.134,-2.4,0.9,2009,1
100,Andre Iguodala,SF,26,PHI,17.8,0.535,23.7,0.101,2,0.4,2009,1
101,LeBron James,SF,25,CLE,31.1,0.604,41.8,0.299,9.1,2.8,2009,1
102,James Johnson,PF,22,CHI,10.4,0.532,9.8,0.054,-4,1.5,2009,1
103,DeAndre Jordan,C,21,LAC,12.7,0.571,2.9,0.061,-3.5,-0.3,2009,1
104,Brook Lopez,C,21,NJN,20.1,0.57,11.8,0.125,1.6,-0.5,2009,1
105,Robin Lopez,C,21,PHO,17.6,0.621,1.1,0.158,0.3,-0.9,2009,1
106,Kevin Love,PF,21,MIN,20.7,0.549,12.9,0.138,2.7,-1.2,2009,1
107,Kyle Lowry,PG,23,HOU,15.5,0.536,27.7,0.126,0.4,0.4,2009,1
108,JaVale McGee,C,22,WAS,17,0.539,2.4,0.105,-2,1.2,2009,1
109,Patty Mills,PG,21,POR,11.9,0.48,27.1,-0.036,-4.6,-5.6,2009,1
110,Paul Millsap,PF,24,UTA,16.7,0.573,8.9,0.151,-0.4,0.8,2009,1
111,Chris Paul,PG,24,NOH,23.7,0.584,45.4,0.204,4.6,1.6,2009,1
112,Rajon Rondo,PG,23,BOS,19.1,0.54,43.7,0.156,2.2,1.4,2009,1
113,Derrick Rose,PG,21,CHI,18.6,0.532,30.3,0.1,2.6,-0.9,2009,1
114,Garrett Temple,SG,23,TOT,10.5,0.553,9.6,0.057,-3.4,0.4,2009,1
115,Garrett Temple,SG,23,HOU,8.6,0.569,8.9,0.004,-5.2,-0.3,2009,1
116,Garrett Temple,SG,23,SAC,15.4,0.539,13.2,0.078,0,0.5,2009,1
117,Garrett Temple,SG,23,SAS,11.1,0.546,9.5,0.086,-2.7,0.9,2009,1
118,Russell Westbrook,PG,21,OKC,17.8,0.491,38.6,0.105,1.7,-0.5,2009,1
119,Lou Williams,PG,23,PHI,18.2,0.576,22.9,0.13,1.9,-0.4,2009,1
120,Thaddeus Young,PF,21,PHI,14,0.523,7.5,0.047,-0.4,-1.5,2009,1
121,LaMarcus Aldridge,PF,25,POR,21.5,0.549,10.1,0.166,2.6,-0.5,2010,1
122,Carmelo Anthony,SF,26,TOT,21.7,0.557,14.7,0.138,3.2,-1.2,2010,1
123,Carmelo Anthony,SF,26,DEN,21.2,0.547,14.3,0.127,2.4,-1,2010,1
124,Carmelo Anthony,SF,26,NYK,22.8,0.575,15.3,0.157,4.6,-1.7,2010,1
125,D.J. Augustin,PG,23,CHA,15.9,0.541,31.1,0.108,1.7,-1.6,2010,1
126,Nicolas Batum,SF,22,POR,14.8,0.563,8.1,0.126,1.1,0,2010,1
127,Eric Bledsoe,PG,21,LAC,10.8,0.499,24.2,0.008,-2.4,0.2,2010,1
128,Avery Bradley,PG,20,BOS,2.2,0.36,11.9,-0.139,-10.8,-0.3,2010,1
129,Mike Conley,PG,23,MEM,15.9,0.521,28,0.111,0.7,0.5,2010,1
130,Stephen Curry,PG,22,GSW,19.4,0.595,28.1,0.128,3,-0.7,2010,1
131,Ed Davis,PF,21,TOR,15.8,0.583,3.8,0.119,-0.2,-0.8,2010,1
132,DeMar DeRozan,SG,21,TOR,14.5,0.53,8.6,0.055,-0.9,-1.5,2010,1
133,Goran Dragic,PG,24,TOT,13.2,0.524,25.6,0.04,-0.9,-0.5,2010,1
134,Goran Dragic,PG,24,PHO,11.2,0.492,26.8,-0.012,-2.3,-1.2,2010,1
135,Goran Dragic,PG,24,HOU,17.7,0.604,22.7,0.157,2.5,1.2,2010,1
136,Kevin Durant,SF,22,OKC,23.6,0.589,13.2,0.189,5.2,-0.3,2010,1
137,Wayne Ellington,SG,23,MIN,8.6,0.488,9.4,0.01,-2.3,-1.3,2010,1
138,Derrick Favors,PF,19,TOT,13.8,0.542,4.2,0.091,-2.6,-0.6,2010,1
139,Derrick Favors,PF,19,NJN,12.6,0.54,3.2,0.083,-3.2,-0.7,2010,1
140,Derrick Favors,PF,19,UTA,16.8,0.545,6.7,0.11,-1.2,-0.4,2010,1
141,Danilo Gallinari,PF-SF,22,TOT,15.7,0.597,7.4,0.139,1.5,-0.8,2010,1
142,Danilo Gallinari,PF,22,NYK,15.6,0.6,7.4,0.14,1.4,-1.3,2010,1
143,Danilo Gallinari,SF,22,DEN,15.9,0.587,7.5,0.133,1.7,1.3,2010,1
144,Rudy Gay,SF,24,MEM,17.8,0.548,11.6,0.123,1.9,0.8,2010,1
145,Paul George,SG,20,IND,13,0.542,8.3,0.091,-1.6,1.4,2010,1
146,Taj Gibson,PF,25,CHI,14.3,0.502,5.3,0.143,-2.2,1.4,2010,1
147,Eric Gordon,SG,22,LAC,18.5,0.566,20.7,0.12,3,-1,2010,1
148,Danny Green,SG,23,SAS,13.2,0.586,3.6,0.076,0.1,-0.7,2010,1
149,Jeff Green,PF-SF,24,TOT,12.9,0.538,7.2,0.095,-0.6,-0.5,2010,1
150,Jeff Green,PF,24,OKC,12.9,0.533,7.9,0.087,-0.3,-0.9,2010,1
151,Jeff Green,SF,24,BOS,12.9,0.553,5.1,0.118,-1.5,0.8,2010,1
152,Blake Griffin,PF,21,LAC,21.9,0.549,18.7,0.152,3,-0.3,2010,1
153,James Harden,SG,21,OKC,16.4,0.598,12.8,0.156,1.3,0.6,2010,1
154,Udonis Haslem,PF,30,MIA,12.7,0.549,2.7,0.13,-1.7,-0.5,2010,1
155,Gordon Hayward,SF,20,UTA,10.7,0.578,10.2,0.048,-1.2,-1.1,2010,1
156,George Hill,PG,24,SAS,14.6,0.588,13.6,0.136,0.2,0.6,2010,1
157,Jrue Holiday,PG,20,PHI,15.4,0.525,29,0.094,0.4,0.4,2010,1
158,Al Horford,C,24,ATL,20.7,0.587,17.5,0.179,2.5,1.1,2010,1
159,Dwight Howard,C,25,ORL,26.1,0.616,6.8,0.235,2.9,2.4,2010,1
160,Serge Ibaka,PF,21,OKC,17.7,0.579,1.6,0.164,-0.2,0.7,2010,1
161,Andre Iguodala,SF,27,PHI,17.2,0.53,26.4,0.13,1.7,1.6,2010,1
162,LeBron James,SF,26,MIA,27.3,0.594,34.9,0.244,6.3,1.8,2010,1
163,James Johnson,SF,23,TOT,12.6,0.505,16.4,0.036,-1.6,0.9,2010,1
164,James Johnson,SF,23,CHI,8.8,0.449,18.1,-0.014,-6.8,3.4,2010,1
165,James Johnson,SF,23,TOR,13.2,0.517,16.1,0.044,-0.7,0.5,2010,1
166,DeAndre Jordan,C,22,LAC,14.8,0.648,3.2,0.122,-1.7,1,2010,1
167,Brook Lopez,C,22,NJN,19.3,0.549,8.8,0.105,1.4,-0.9,2010,1
168,Robin Lopez,C,22,PHO,13.9,0.539,1.3,0.074,-3.1,-1,2010,1
169,Kevin Love,PF,22,MIN,24.3,0.593,11.8,0.21,5.7,-1.3,2010,1
170,Kyle Lowry,PG,24,HOU,16.5,0.55,29.4,0.13,2,0,2010,1
171,JaVale McGee,C,23,WAS,17.4,0.566,2.8,0.115,-0.7,0.4,2010,1
172,Patty Mills,PG,22,POR,13,0.506,24.3,0.044,-0.1,-1.4,2010,1
173,Paul Millsap,PF,25,UTA,19.8,0.578,12.6,0.143,1.6,0.3,2010,1
174,Chris Paul,PG,25,NOH,23.7,0.578,45.8,0.232,4.4,2.8,2010,1
175,Rajon Rondo,PG,24,BOS,17.1,0.495,47.1,0.126,1.6,1.4,2010,1
176,Derrick Rose,PG,22,CHI,23.5,0.55,38.7,0.208,6.3,0.5,2010,1
177,Ish Smith,PG,22,TOT,7.6,0.406,25.5,-0.016,-4.5,-0.5,2010,1
178,Ish Smith,PG,22,HOU,8.8,0.423,27.8,0.002,-3.7,-0.1,2010,1
179,Ish Smith,PG,22,MEM,4.3,0.366,18.8,-0.066,-7,-1.5,2010,1
180,Garrett Temple,PG-SG,24,TOT,4.7,0.378,21.9,-0.085,-6.2,-0.2,2010,1
181,Garrett Temple,SG,24,SAS,0.6,0.17,12.7,-0.135,-6.2,0.8,2010,1
182,Garrett Temple,SG,24,MIL,3.1,0.373,11.6,-0.019,-6.4,0,2010,1
183,Garrett Temple,PG,24,CHA,6.4,0.406,30.2,-0.119,-6.2,-0.4,2010,1
184,Russell Westbrook,PG,22,OKC,23.6,0.538,42.7,0.159,4.3,-0.1,2010,1
185,Hassan Whiteside,C,21,SAC,-17.9,,0,0.007,-27.9,0,2010,1
186,Lou Williams,SG,24,PHI,18.9,0.54,24.1,0.141,3,-0.7,2010,1
187,Thaddeus Young,PF,22,PHI,18.4,0.566,6.7,0.139,0.8,0.3,2010,1
188,LaMarcus Aldridge,PF,26,POR,22.7,0.56,13.2,0.169,3.4,-0.4,2011,1
189,Carmelo Anthony,SF,27,NYK,21.1,0.525,21,0.16,3.8,-0.2,2011,1
190,D.J. Augustin,PG,24,CHA,14.1,0.493,38.9,0.018,0.7,-3.2,2011,1
191,Nicolas Batum,SF,23,POR,17.3,0.575,7.9,0.127,2.6,0,2011,1
192,Eric Bledsoe,PG,22,LAC,11.2,0.454,21.6,0.022,-3.4,1.8,2011,1
193,Avery Bradley,PG,21,BOS,11.3,0.555,10.8,0.085,-2.3,0.7,2011,1
194,Alec Burks,SG,20,UTA,14,0.506,9.5,0.076,-0.6,-1.4,2011,1
195,Jimmy Butler,SG,22,CHI,12.5,0.526,5.7,0.144,-1.8,0.5,2011,1
196,Mike Conley,PG,24,MEM,16.8,0.523,29.8,0.141,1,1.4,2011,1
197,Stephen Curry,PG,23,GSW,21.2,0.605,32.3,0.144,4.1,0.3,2011,1
198,Ed Davis,PF,22,TOR,14.2,0.544,6.5,0.121,-1.2,0.8,2011,1
199,DeMar DeRozan,SG,22,TOR,12.8,0.503,10.8,0.054,-1.4,-1.3,2011,1
200,Goran Dragic,PG,25,HOU,18,0.567,32.5,0.139,1.9,0,2011,1
201,Kevin Durant,SF,23,OKC,26.2,0.61,17.5,0.23,6.2,0.8,2011,1
202,Wayne Ellington,SG,24,MIN,9.4,0.487,5.5,0.041,-2.7,-0.2,2011,1
203,Derrick Favors,PF,20,UTA,17.1,0.537,5,0.105,-0.6,-0.5,2011,1
204,Danilo Gallinari,SF,23,DEN,16.5,0.563,13,0.14,1.9,-0.1,2011,1
205,Rudy Gay,SF,25,MEM,17.8,0.521,10.8,0.12,1.7,0.2,2011,1
206,Paul George,SG,21,IND,16.5,0.555,13.6,0.148,1.4,2.1,2011,1
207,Taj Gibson,PF,26,CHI,16.9,0.522,5.9,0.167,-0.7,1.5,2011,1
208,Eric Gordon,SG,23,NOH,19.2,0.549,19.3,0.115,2.1,-0.3,2011,1
209,Danny Green,SG,24,SAS,15.5,0.579,8.3,0.142,1.8,1.2,2011,1
210,Blake Griffin,PF,22,LAC,23.4,0.557,16.6,0.185,3.9,-0.2,2011,1
211,James Harden,SG,22,OKC,21.1,0.66,19.3,0.23,4.1,0.2,2011,1
212,Tobias Harris,SF,19,MIL,14.2,0.54,7.4,0.087,-1,-0.9,2011,1
213,Udonis Haslem,PF,31,MIA,10.9,0.479,4,0.106,-2.2,-0.2,2011,1
214,Gordon Hayward,SF,21,UTA,15.5,0.568,15.9,0.116,1.7,-0.1,2011,1
215,George Hill,PG,25,IND,15.7,0.557,18.8,0.152,1.8,0.5,2011,1
216,Jrue Holiday,PG,21,PHI,14.7,0.496,21.6,0.092,-0.5,0.9,2011,1
217,Al Horford,C,25,ATL,19,0.585,11.7,0.18,1.8,1.5,2011,1
218,Dwight Howard,C,26,ORL,24.2,0.569,9.8,0.179,2.2,2,2011,1
219,Serge Ibaka,PF,22,OKC,19,0.556,2.5,0.167,0.1,2.3,2011,1
220,Andre Iguodala,SF,28,PHI,17.6,0.537,23.7,0.158,1.5,2.5,2011,1
221,Reggie Jackson,PG,21,OKC,9.2,0.408,21.2,0.011,-3.3,-0.3,2011,1
222,LeBron James,SF,27,MIA,30.7,0.605,33.6,0.298,8.2,2.7,2011,1
223,James Johnson,SF,24,TOR,14.5,0.498,13.9,0.079,-0.9,2.3,2011,1
224,DeAndre Jordan,C,23,LAC,16.4,0.626,1.5,0.15,-0.4,0.4,2011,1
225,Cory Joseph,PG,20,SAS,6.9,0.374,17.4,0.001,-4.4,-0.6,2011,1
226,Enes Kanter,C,19,UTA,14.5,0.539,1.4,0.095,-1.2,-1.7,2011,1
227,Brook Lopez,C,23,NJN,21.9,0.527,10.2,0.091,3.4,-2.8,2011,1
228,Robin Lopez,C,23,PHO,15.2,0.526,3.4,0.115,-2.2,0,2011,1
229,Kevin Love,PF,23,MIN,25.4,0.568,10,0.223,6.1,-0.9,2011,1
230,Kyle Lowry,PG,25,HOU,18.8,0.558,32.3,0.156,2.8,1.2,2011,1
231,JaVale McGee,C,24,TOT,19.9,0.552,3.5,0.127,0.1,0,2011,1
232,JaVale McGee,C,24,WAS,19.6,0.539,3.9,0.12,0,0.1,2011,1
233,JaVale McGee,C,24,DEN,20.5,0.588,2.5,0.148,0.5,-0.1,2011,1
234,Patty Mills,PG,23,SAS,21.5,0.604,25.9,0.161,3.6,-1.2,2011,1
235,Paul Millsap,PF,26,UTA,21.8,0.545,12.4,0.179,2.6,1.3,2011,1
236,Marcus Morris Sr.,PF,22,HOU,3.8,0.348,3.7,-0.083,-6.6,-2.7,2011,1
237,Markieff Morris,PF,22,PHO,12.1,0.484,8.2,0.059,-2.6,0.5,2011,1
238,Chris Paul,PG,26,LAC,27,0.581,43.8,0.278,6.7,2.4,2011,1
239,Rajon Rondo,PG,25,BOS,17.5,0.483,52.5,0.121,1.5,0.6,2011,1
240,Derrick Rose,PG,23,CHI,23,0.532,40.3,0.211,6.1,0.3,2011,1
241,Ricky Rubio,PG,21,MIN,14.6,0.476,37.4,0.07,-0.4,1.4,2011,1
242,Ish Smith,PG,23,TOT,14.1,0.422,29.2,0.062,-1.9,2,2011,1
243,Ish Smith,PG,23,GSW,16.7,0.437,24.2,0.069,0.7,2.4,2011,1
244,Ish Smith,PG,23,ORL,13.1,0.413,31.1,0.06,-2.8,1.8,2011,1
245,Tristan Thompson,PF,20,CLE,13.3,0.469,3.3,0.038,-2.4,-2.3,2011,1
246,Nikola Vucevic,C,21,PHI,14.3,0.462,6.2,0.109,-2.5,0.3,2011,1
247,Kemba Walker,PG,21,CHA,14.9,0.464,30.2,0.009,0.7,-1.4,2011,1
248,Russell Westbrook,PG,23,OKC,22.9,0.538,29.8,0.163,3.7,-0.7,2011,1
249,Hassan Whiteside,C,22,SAC,16.2,0.449,0,0.073,-2,0.4,2011,1
250,Lou Williams,PG,25,PHI,20.2,0.525,22.4,0.174,3.7,0.2,2011,1
251,Thaddeus Young,PF,23,PHI,18.9,0.538,7.3,0.171,1.4,0.6,2011,1
252,LaMarcus Aldridge,PF,27,POR,20.4,0.53,13,0.124,1.7,-0.4,2012,1
253,Carmelo Anthony,PF,28,NYK,24.8,0.56,14.1,0.184,6,-1.7,2012,1
254,D.J. Augustin,PG,25,IND,11,0.527,21.6,0.112,-0.7,0.1,2012,1
255,Harrison Barnes,SF,20,GSW,11,0.526,7.3,0.065,-1.6,-0.1,2012,1
256,Will Barton,SG,22,POR,9.1,0.437,10.4,-0.028,-4,-0.6,2012,1
257,Nicolas Batum,SF,24,POR,15.7,0.566,20.3,0.099,2.3,0.5,2012,1
258,Kent Bazemore,SG,23,GSW,11.3,0.454,13.1,0.014,-3.1,0.7,2012,1
259,Bradley Beal,SG,19,WAS,13.6,0.515,13.7,0.082,0,0.2,2012,1
260,Patrick Beverley,PG,24,HOU,15.4,0.551,24.2,0.148,1.7,2.1,2012,1
261,Eric Bledsoe,PG,23,LAC,17.5,0.513,23.5,0.115,1.3,2.2,2012,1
262,Avery Bradley,PG,22,BOS,8.8,0.461,11.6,0.012,-4,0.3,2012,1
263,Alec Burks,SG,21,UTA,11.5,0.507,13,0.044,-1.9,-0.7,2012,1
264,Jimmy Butler,SF,23,CHI,15.2,0.574,8.6,0.158,1,1,2012,1
265,Mike Conley,PG,25,MEM,18.3,0.549,29.5,0.172,2.3,2.3,2012,1
266,Jae Crowder,SF,22,DAL,10.2,0.491,10,0.055,-1.9,0.9,2012,1
267,Stephen Curry,PG,24,GSW,21.3,0.589,31.1,0.18,5.3,0.1,2012,1
268,Anthony Davis,PF,19,NOH,21.7,0.559,6.1,0.159,1.8,0.7,2012,1
269,Ed Davis,C-PF,23,TOT,17.8,0.561,6.7,0.159,-0.2,0.4,2012,1
270,Ed Davis,C,23,TOR,18.1,0.57,8.8,0.147,0.7,-0.3,2012,1
271,Ed Davis,PF,23,MEM,17.2,0.539,2.4,0.183,-2,1.9,2012,1
272,DeMar DeRozan,SG,23,TOR,14.7,0.523,12,0.075,-0.2,-1.2,2012,1
273,Goran Dragic,PG,26,PHO,17.5,0.54,35.7,0.106,1.7,-0.3,2012,1
274,Andre Drummond,C,19,DET,21.6,0.578,4.1,0.172,1,1.5,2012,1
275,Kevin Durant,SF,24,OKC,28.3,0.647,21.7,0.291,7.6,1.7,2012,1
276,Wayne Ellington,SG,25,TOT,12.2,0.546,10.1,0.093,0,-0.5,2012,1
277,Wayne Ellington,SG,25,MEM,9.8,0.529,9.9,0.094,-1.1,0.5,2012,1
278,Wayne Ellington,SG,25,CLE,13.9,0.556,10.3,0.093,0.7,-1.2,2012,1
279,Derrick Favors,PF,21,UTA,17.5,0.533,6.8,0.117,-1.6,1.1,2012,1
280,Evan Fournier,SG,20,DEN,13.8,0.597,15.5,0.115,-1.3,0,2012,1
281,Danilo Gallinari,SF,24,DEN,16.7,0.561,11.2,0.151,2.9,-0.1,2012,1
282,Rudy Gay,SF,26,TOT,15.6,0.494,13.6,0.072,0.5,0.5,2012,1
283,Rudy Gay,SF,26,MEM,14.1,0.478,12.4,0.075,-0.2,0.7,2012,1
284,Rudy Gay,SF,26,TOR,17.6,0.513,15.3,0.068,1.5,0.3,2012,1
285,Paul George,SF,22,IND,16.8,0.531,19.6,0.145,1.5,2.3,2012,1
286,Taj Gibson,PF,27,CHI,14.4,0.518,7.1,0.109,-2.1,1,2012,1
287,Eric Gordon,SG,24,NOH,15.4,0.523,19.3,0.042,0.6,-1.9,2012,1
